medal_date,medal_type,name,gender,country,discipline,event
27-07-2024,Gold Medal,EVENEPOEL Remco,Male,Belgium,Cycling Road,Men's Individual Time Trial
27-07-2024,Silver Medal,GANNA Filippo,Male,Italy,Cycling Road,Men's Individual Time Trial
27-07-2024,Bronze Medal,van AERT Wout,Male,Belgium,Cycling Road,Men's Individual Time Trial
27-07-2024,Gold Medal,BROWN Grace,Female,Australia,Cycling Road,Women's Individual Time Trial
27-07-2024,Silver Medal,HENDERSON Anna,Female,Great Britain,Cycling Road,Women's Individual Time Trial
27-07-2024,Bronze Medal,DYGERT Chloe,Female,United States,Cycling Road,Women's Individual Time Trial
27-07-2024,Gold Medal,OH Sanguk,Male,Korea,Fencing,Men's Sabre Individual
27-07-2024,Silver Medal,FERJANI Fares,Male,Tunisia,Fencing,Men's Sabre Individual
27-07-2024,Bronze Medal,SAMELE Luigi,Male,Italy,Fencing,Men's Sabre Individual
27-07-2024,Gold Medal,KONG Man Wai Vivian,Female,"Hong Kong, China",Fencing,Women's Épée Individual
27-07-2024,Silver Medal,MALLO-BRETON Auriane,Female,France,Fencing,Women's Épée Individual
27-07-2024,Bronze Medal,MUHARI Eszter,Female,Hungary,Fencing,Women's Épée Individual
27-07-2024,Gold Medal,SMETOV Yeldos,Male,Kazakhstan,Judo,Men -60 kg
27-07-2024,Silver Medal,MKHEIDZE Luka,Male,France,Judo,Men -60 kg
27-07-2024,Bronze Medal,NAGAYAMA Ryuju,Male,Japan,Judo,Men -60 kg
27-07-2024,Bronze Medal,GARRIGOS Francisco,Male,Spain,Judo,Men -60 kg
27-07-2024,Gold Medal,TSUNODA Natsumi,Female,Japan,Judo,Women -48 kg
27-07-2024,Silver Medal,BAVUUDORJ Baasankhuu,Female,Mongolia,Judo,Women -48 kg
27-07-2024,Bronze Medal,BOUKLI Shirine,Female,France,Judo,Women -48 kg
27-07-2024,Bronze Medal,BABULFATH Tara,Female,Sweden,Judo,Women -48 kg
27-07-2024,Gold Medal,MAERTENS Lukas,Male,Germany,Swimming,Men's 400m Freestyle
27-07-2024,Silver Medal,WINNINGTON Elijah,Male,Australia,Swimming,Men's 400m Freestyle
27-07-2024,Bronze Medal,KIM Woomin,Male,Korea,Swimming,Men's 400m Freestyle
27-07-2024,Gold Medal,TITMUS Ariarne,Female,Australia,Swimming,Women's 400m Freestyle
27-07-2024,Silver Medal,McINTOSH Summer,Female,Canada,Swimming,Women's 400m Freestyle
27-07-2024,Bronze Medal,LEDECKY Katie,Female,United States,Swimming,Women's 400m Freestyle
28-07-2024,Gold Medal,FOX Jessica,Female,Australia,Canoe Slalom,Women's Kayak Single
28-07-2024,Silver Medal,ZWOLINSKA Klaudia,Female,Poland,Canoe Slalom,Women's Kayak Single
28-07-2024,Bronze Medal,WOODS Kimberley,Female,Great Britain,Canoe Slalom,Women's Kayak Single
28-07-2024,Gold Medal,FERRAND PREVOT Pauline,Female,France,Cycling Mountain Bike,Women's Cross-country
28-07-2024,Silver Medal,BATTEN Haley,Female,United States,Cycling Mountain Bike,Women's Cross-country
28-07-2024,Bronze Medal,RISSVEDS Jenny,Female,Sweden,Cycling Mountain Bike,Women's Cross-country
28-07-2024,Gold Medal,KANO Koki,Male,Japan,Fencing,Men's Épée Individual
28-07-2024,Silver Medal,BOREL Yannick,Male,France,Fencing,Men's Épée Individual
28-07-2024,Bronze Medal,ELSAYED Mohamed,Male,Egypt,Fencing,Men's Épée Individual
28-07-2024,Gold Medal,KIEFER Lee,Female,United States,Fencing,Women's Foil Individual
28-07-2024,Silver Medal,SCRUGGS Lauren,Female,United States,Fencing,Women's Foil Individual
28-07-2024,Bronze Medal,HARVEY Eleanor,Female,Canada,Fencing,Women's Foil Individual
28-07-2024,Gold Medal,ABE Hifumi,Male,Japan,Judo,Men -66 kg
28-07-2024,Silver Medal,LIMA Willian,Male,Brazil,Judo,Men -66 kg
28-07-2024,Bronze Medal,KYRGYZBAYEV Gusman,Male,Kazakhstan,Judo,Men -66 kg
28-07-2024,Bronze Medal,VIERU Denis,Male,Republic of Moldova,Judo,Men -66 kg
28-07-2024,Gold Medal,KELDIYOROVA Diyora,Female,Uzbekistan,Judo,Women -52 kg
28-07-2024,Silver Medal,KRASNIQI Distria,Female,Kosovo,Judo,Women -52 kg
28-07-2024,Bronze Medal,PIMENTA Larissa,Female,Brazil,Judo,Women -52 kg
28-07-2024,Bronze Medal,BUCHARD Amandine,Female,France,Judo,Women -52 kg
28-07-2024,Gold Medal,XIE Yu,Male,China,Shooting,10m Air Pistol Men
28-07-2024,Silver Medal,MALDINI Federico Nilo,Male,Italy,Shooting,10m Air Pistol Men
28-07-2024,Bronze Medal,MONNA Paolo,Male,Italy,Shooting,10m Air Pistol Men
28-07-2024,Gold Medal,OH Ye Jin,Female,Korea,Shooting,10m Air Pistol Women
28-07-2024,Silver Medal,KIM Yeji,Female,Korea,Shooting,10m Air Pistol Women
28-07-2024,Bronze Medal,BHAKER Manu,Female,India,Shooting,10m Air Pistol Women
28-07-2024,Gold Medal,YOSHIZAWA Coco,Female,Japan,Skateboarding,Women's Street
28-07-2024,Silver Medal,AKAMA Liz,Female,Japan,Skateboarding,Women's Street
28-07-2024,Bronze Medal,LEAL Rayssa,Female,Brazil,Skateboarding,Women's Street
28-07-2024,Gold Medal,MARTINENGHI Nicolo,Male,Italy,Swimming,Men's 100m Breaststroke
